,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
167,Harry Potter and the Chamber of Secrets,,,,,,15-Nov-2002,100000000,262233381,616991754,879225135,779225135,,,
168,The Amazing Spider-Man,,,,,,03-Jul-2012,220000000,262030663,495859604,757890267,537890267,,,
169,The Amazing Spider-Man,2012,,,6.5,10411,04-Jul-2012,,262000000,495900000,757900000,757900000,Sony,en,24.391
170,The Incredibles,,,,,,05-Nov-2004,92000000,261441092,353285660,614726752,522726752,,,
171,How the Grinch Stole Christmas,,,,,,17-Nov-2000,123000000,260044825,85096578,345141403,222141403,,,
172,Jaws,,,,,,20-Jun-1975,12000000,260000000,210700000,470700000,458700000,,,
173,Captain America: The Winter Soldier,2014,,,7.7,11034,04-Apr-2014,,259800000,454500000,714300000,714300000,BV,en,18.073
174,Captain America: The Winter Soldier,,,,,,04-Apr-2014,170000000,259746958,454654931,714401889,544401889,,,
175,The Hobbit: The Desolation of Smaug,2013,,,7.6,7739,13-Dec-2013,,258399999,700000000,958399999,958399999,WB (NL),en,21.275
176,The Hobbit: The Desolation of Smaug,,,,,,13-Dec-2013,250000000,258366855,702000000,960366855,710366855,,,
177,The Lego Movie,,,,,,07-Feb-2014,60000000,257784718,199944670,457729388,397729388,,,
178,Star Trek,,,,,,08-May-2009,140000000,257730019,129109595,386839614,246839614,,,
179,I am Legend,,,,,,14-Dec-2007,150000000,256393010,329139674,585532684,435532684,,,
180,The Blind Side,,,,,,20-Nov-2009,35000000,255959475,49746319,305705794,270705794,,,
181,The Hobbit: The Battle of the Five Armies,,,,,,17-Dec-2014,250000000,255119788,690457833,945577621,695577621,,,
182,The Hobbit: The Battle of the Five Armies,2014,,,7.3,8392,17-Dec-2014,,255100000,700900000,956000000,956000000,WB (NL),en,53.783
183,The Hangover Part II,2011,,,6.4,6231,25-May-2011,,254500000,332300000,586800000,586800000,WB,en,32.266
184,The Hangover Part II,,,,,,26-May-2011,80000000,254464305,332000000,586464305,506464305,,,
185,Despicable Me,,,,,,09-Jul-2010,69000000,251513985,291950588,543464573,474464573,,,
186,Despicable Me,2010,,,7.2,10057,09-Jul-2010,,251500000,291600000,543100000,543100000,Uni.,en,23.673
187,Batman,,,,,,23-Jun-1989,35000000,251188924,160160000,411348924,376348924,,,
188,Night at the Museum,,,,,,22-Dec-2006,110000000,250863268,328583139,579446407,469446407,,,
189,Men in Black,,,,,,01-Jul-1997,90000000,250690539,337100000,587790539,497790539,,,
190,Harry Potter and the Prisoner of Azkaban,,,,,,04-Jun-2004,130000000,249757726,547149597,796907323,666907323,,,
191,Moana,2016,,,6.5,16,13-Nov-2015,,248800000,394600000,643400000,643400000,BV,en,1.96
192,Moana,2016,,,7.5,6907,23-Nov-2016,,248800000,394600000,643400000,643400000,BV,en,4.419
193,Moana,2016,,,7.5,6907,23-Nov-2016,,248800000,394600000,643400000,643400000,BV,en,4.419
194,Moana,,,,,,23-Nov-2016,150000000,248757044,388760321,637517365,487517365,,,
195,Aladdin,,,,,,24-May-2019,182000000,246734314,372500000,619234314,437234314,,,
196,Toy Story 2,,,,,,19-Nov-1999,90000000,245852179,265506097,511358276,421358276,,,
197,Transformers: Age of Extinction,,,,,,27-Jun-2014,210000000,245439076,858600000,1104039076,894039076,,,
198,Transformers: Age of Extinction,2014,,,5.8,4805,27-Jun-2014,,245400000,858600000,1104000000,1104000000,Par.,en,20.961
199,Cars,,,,,,09-Jun-2006,70000000,244082982,217568264,461651246,391651246,,,
200,Bruce Almighty,,,,,,23-May-2003,81000000,242704995,241763613,484468608,403468608,,,
201,Ghostbusters,,,,,,08-Jun-1984,30000000,242212467,53000000,295212467,265212467,,,
202,Twister,,,,,,10-May-1996,88000000,241688385,254011615,495700000,407700000,,,
203,My Big Fat Greek Wedding,,,,,,19-Apr-2002,5000000,241438208,133451826,374890034,369890034,,,
204,Maleficent,,,,,,30-May-2014,180000000,241407328,517129407,758536735,578536735,,,
205,Maleficent,2014,,,7,8143,30-May-2014,,241400000,517100000,758500000,758500000,BV,en,19.274
206,Pirates of the Caribbean: On Stranger Tides,2011,,,6.4,8571,20-May-2011,,241100000,804600000,1045700000,1045700000,BV,en,30.579
207,Pirates of the Caribbean: On Stranger Tides,,,,,,20-May-2011,410600000,241063875,804600000,1045663875,635063875,,,
208,Shrek Forever After,,,,,,21-May-2010,165000000,238736787,517507886,756244673,591244673,,,
209,Fast & Furious 6,2013,,,6.8,7077,22-May-2013,,238700000,550000000,788700000,788700000,Uni.,en,2.114
210,Shrek Forever After,2010,,,6.1,3843,16-May-2010,,238700000,513900000,752600000,752600000,P/DW,en,15.041
211,Fast and Furious 6,,,,,,24-May-2013,160000000,238679850,550620594,789300444,629300444,,,
212,Brave,2012,,,5,1,19-Jan-2010,,237300000,303200000,540500000,540500000,BV,th,0.6
213,Brave,2012,,,6.9,8116,22-Jun-2012,,237300000,303200000,540500000,540500000,BV,en,18.908
214,Brave,,,,,,22-Jun-2012,185000000,237282182,317324350,554606532,369606532,,,
215,Oz the Great and Powerful,,,,,,08-Mar-2013,200000000,234770996,255588055,490359051,290359051,,,
216,Beverly Hills Cop,,,,,,05-Dec-1984,15000000,234760478,81539522,316300000,301300000,,,
217,X-Men: The Last Stand,,,,,,26-May-2006,210000000,234362462,224898484,459260946,249260946,,,
218,War of the Worlds,,,,,,29-Jun-2005,132000000,234280354,372556181,606836535,474836535,,,
219,Fantastic Beasts and Where to Find Them,,,,,,18-Nov-2016,180000000,234037575,568365278,802402853,622402853,,,
220,X-Men: Days of Future Past,,,,,,23-May-2014,200000000,233921534,513941241,747862775,547862775,,,
221,X-Men: Days of Future Past,2014,,,7.5,10062,23-May-2014,,233900000,513900000,747800000,747800000,Fox,en,41.867
222,Cast Away,,,,,,22-Dec-2000,85000000,233632142,193598374,427230516,342230516,,,
223,Doctor Strange,,,,,,04-Nov-2016,165000000,232641920,443762646,676404566,511404566,,,
224,Doctor Strange,2016,,,7.3,12582,04-Nov-2016,,232600000,445100000,677700000,677700000,BV,en,33.035
225,Doctor Strange,2016,,,7.3,12582,04-Nov-2016,,232600000,445100000,677700000,677700000,BV,en,33.035
226,The Exorcist,,,,,,26-Dec-1973,12000000,230347346,197867132,428214478,416214478,,,
227,The Lost World: Jurassic Park,,,,,,22-May-1997,75000000,229086679,389552320,618638999,543638999,,,
228,Justice League,,,,,,17-Nov-2017,300000000,229024295,426920914,655945209,355945209,,,
229,Justice League,2017,,,6.2,7510,17-Nov-2017,,229000000,428900000,657900000,657900000,WB,en,34.953
230,Justice League,2017,,,6.2,7510,17-Nov-2017,,229000000,428900000,657900000,657900000,WB,en,34.953
231,Star Trek Into Darkness,2013,,,7.4,6182,16-May-2013,,228800000,238600000,467400000,467400000,Par.,en,20.487
232,Star Trek Into Darkness,,,,,,16-May-2013,190000000,228778661,238602923,467381584,277381584,,,
233,The Martian,,,,,,02-Oct-2015,108000000,228433663,426837780,655271443,547271443,,,
234,The Martian,2015,,,7.7,12172,02-Oct-2015,,228400000,401700000,630100000,630100000,Fox,en,22.856
235,The Martian,2015,,,7.7,12172,02-Oct-2015,,228400000,401700000,630100000,630100000,Fox,en,22.856
236,Signs,,,,,,02-Aug-2002,70702619,227969295,180300000,408269295,337566676,,,
237,Hancock,,,,,,01-Jul-2008,150000000,227946274,396287998,624234272,474234272,,,
238,The Bourne Ultimatum,,,,,,03-Aug-2007,130000000,227471070,216572326,444043396,314043396,,,
239,Logan,,,,,,03-Mar-2017,127000000,226277068,389184326,615461394,488461394,,,
240,Rush Hour 2,,,,,,03-Aug-2001,90000000,226164286,121261546,347425832,257425832,,,
241,The Fate of the Furious,2017,,,6.9,6335,14-Apr-2017,,226000000,101000,226001010,226001010,Uni.,en,28.668
242,The Fate of the Furious,,,,,,14-Apr-2017,250000000,225764765,1009081502,1234846267,984846267,,,
243,Raiders of the Lost Ark,,,,,,12-Jun-1981,20000000,225686079,141766000,367452079,347452079,,,
244,WALL-E,,,,,,27-Jun-2008,180000000,223808164,308699861,532508025,352508025,,,
245,Big Hero 6,,,,,,07-Nov-2014,165000000,222527828,429600000,652127828,487127828,,,
246,Big Hero 6,2014,,,7.8,10176,07-Nov-2014,,222500000,435300000,657800000,657800000,BV,en,36.92
247,Big Hero 6,2014,,,7.8,10176,07-Nov-2014,,222500000,435300000,657800000,657800000,BV,en,36.92
248,Mission: Impossible - Fallout,2018,,,7.3,3811,27-Jul-2018,,220200000,571000000,791200000,791200000,Par.,en,29.69
249,Mission: ImpossibleâFallout,,,,,,27-Jul-2018,178000000,220159104,567297448,787456552,609456552,,,
250,Alvin and the Chipmunks: The Squeakquel,,,,,,23-Dec-2009,70000000,219614612,223868601,443483213,373483213,,,
