,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
251,Mrs. Doubtfire,,,,,,24-Nov-1993,25000000,219195051,222090952,441286003,416286003,,,
252,Ted,2012,,,6.3,7727,29-Jun-2012,,218800000,330600000,549400000,549400000,Uni.,en,14.475
253,Ted,,,,,,29-Jun-2012,50000000,218665740,337350887,556016627,506016627,,,
254,King Kong,,,,,,14-Dec-2005,207000000,218080025,332437332,550517357,343517357,,,
255,Ghost,,,,,,13-Jul-1990,22000000,217631306,299968694,517600000,495600000,,,
256,How to Train Your Dragon,2010,,,7.7,7610,26-Mar-2010,,217600000,277300000,494900000,494900000,P/DW,en,28.734
257,How to Train Your Dragon,,,,,,26-Mar-2010,165000000,217581232,277289760,494870992,329870992,,,
258,The Da Vinci Code,,,,,,19-May-2006,125000000,217536138,550284321,767820459,642820459,,,
259,Aladdin,,,,,,11-Nov-1992,28000000,217350219,286700000,504050219,476050219,,,
260,Alvin and the Chipmunks,,,,,,14-Dec-2007,55000000,217326974,145278059,362605033,307605033,,,
261,Ant-Man and the Wasp,,,,,,06-Jul-2018,130000000,216648740,406495920,623144660,493144660,,,
262,Ant-Man and the Wasp,2018,,,7,6290,06-Jul-2018,,216600000,406000000,622600000,622600000,BV,en,44.729
263,Bohemian Rhapsody,2018,,,8.1,7629,02-Nov-2018,,216400000,687200000,903600000,903600000,Fox,en,37.197
264,Madagascar 3: Europe's Most Wanted,2012,,,6.5,3380,08-Jun-2012,,216400000,530500000,746900000,746900000,P/DW,en,18.705
265,Madagascar 3: Europe's Most Wanted,,,,,,08-Jun-2012,145000000,216391482,530529789,746921271,601921271,,,
266,Saving Private Ryan,,,,,,24-Jul-1998,65000000,216335085,268700000,485035085,420035085,,,
267,Bohemian Rhapsody,,,,,,02-Nov-2018,55000000,216303339,678682003,894985342,839985342,,,
268,Kung Fu Panda,,,,,,06-Jun-2008,130000000,215434591,416475940,631910531,501910531,,,
269,Mission: Impossible 2,,,,,,24-May-2000,120000000,215409889,334178627,549588516,429588516,,,
270,A Star is Born,,,,,,05-Oct-2018,36000000,215288866,218160705,433449571,397449571,,,
271,X-Men 2,,,,,,02-May-2003,125000000,214949694,191925842,406875536,281875536,,,
272,Doctor Seuss' The Lorax,,,,,,02-Mar-2012,67500000,214030500,136946253,350976753,283476753,,,
273,Solo: A Star Wars Story,2018,,,6.6,3838,25-May-2018,,213800000,179200000,393000000,393000000,BV,en,29.502
274,Solo: A Star Wars Story,,,,,,25-May-2018,275000000,213767512,179383835,393151347,118151347,,,
275,Venom,,,,,,05-Oct-2018,116000000,213511408,640117197,853628605,737628605,,,
276,Austin Powers in Goldmember,,,,,,25-Jul-2002,63000000,213117789,83220874,296338663,233338663,,,
277,Back to the Future,,,,,,03-Jul-1985,19000000,212259762,173265022,385524784,366524784,,,
278,300,,,,,,09-Mar-2007,60000000,210614939,243546996,454161935,394161935,,,
279,Fast Five,,,,,,29-Apr-2011,125000000,210031325,420132129,630163454,505163454,,,
280,Fast Five,2011,,,7.2,4294,28-Apr-2011,,209800000,416300000,626100000,626100000,Uni.,en,2.097
281,Coco,,,,,,22-Nov-2017,175000000,209726015,588282086,798008101,623008101,,,
282,Coco,2017,,,8.2,8669,22-Nov-2017,,209700000,597400000,807100000,807100000,BV,en,25.961
283,Coco,2017,,,8.2,8669,22-Nov-2017,,209700000,597400000,807100000,807100000,BV,en,25.961
284,Mission: Impossible - Ghost Protocol,2011,,,7,6102,21-Dec-2011,,209400000,485300000,694700000,694700000,Par.,en,18.304
285,Mission: ImpossibleâGhost Protocol,,,,,,16-Dec-2011,145000000,209397903,485315327,694713230,549713230,,,
286,Wedding Crashers,,,,,,15-Jul-2005,40000000,209218368,74000000,283218368,243218368,,,
287,Sherlock Holmes,,,,,,25-Dec-2009,90000000,209028679,289409533,498438212,408438212,,,
288,Dawn of the Planet of the Apes,,,,,,11-Jul-2014,170000000,208545589,502098977,710644566,540644566,,,
289,Dawn of the Planet of the Apes,2014,,,7.3,7080,11-Jul-2014,,208500000,502100000,710600000,710600000,Fox,en,27.641
290,Charlie and the Chocolate Factory,,,,,,15-Jul-2005,150000000,206459076,269366408,475825484,325825484,,,
291,Ratatouille,,,,,,29-Jun-2007,150000000,206445654,420104041,626549695,476549695,,,
292,Thor: The Dark World,2013,,,6.7,10171,08-Nov-2013,,206400000,438200000,644600000,644600000,BV,en,31.014
293,Thor: The Dark World,,,,,,08-Nov-2013,150000000,206362140,438240376,644602516,494602516,,,
294,Austin Powers: The Spy Who Shagged Me,,,,,,10-Jun-1999,35000000,206040085,106343402,312383487,277383487,,,
295,Batman Begins,,,,,,15-Jun-2005,150000000,205343774,153798948,359142722,209142722,,,
296,Terminator 2: Judgment Day,,,,,,02-Jul-1991,100000000,203464105,311955722,515419827,415419827,,,
297,The Amazing Spider-Man 2,2014,,,6.4,7220,02-May-2014,,202900000,506100000,709000000,709000000,Sony,en,20.847
298,The Amazing Spider-Man 2,,,,,,02-May-2014,200000000,202853933,506142403,708996336,508996336,,,
299,World War Z,2013,,,6.7,9132,21-Jun-2013,,202400000,337600000,540000000,540000000,Par.,en,14.582
300,World War Z,,,,,,21-Jun-2013,190000000,202359711,329154939,531514650,341514650,,,
301,The Mummy Returns,,,,,,04-May-2001,98000000,202007640,233032755,435040395,337040395,,,
302,Armageddon,,,,,,01-Jul-1998,140000000,201578182,353021818,554600000,414600000,,,
303,Cinderella,,,,,,13-Mar-2015,95000000,201151353,333400000,534551353,439551353,,,
304,Ralph Breaks the Internet,2018,,,7.2,2626,21-Nov-2018,,201100000,328100000,529200000,529200000,BV,en,48.057
305,Ralph Breaks The Internet,,,,,,21-Nov-2018,175000000,201091711,323191984,524283695,349283695,,,
306,Tangled,,,,,,24-Nov-2010,260000000,200821936,385655304,586477240,326477240,,,
307,Tangled,2010,,,7.5,6407,24-Nov-2010,,200800000,391000000,591800000,591800000,BV,en,21.511
308,Godzilla,,,,,,16-May-2014,160000000,200676069,328400000,529076069,369076069,,,
309,Superman Returns,,,,,,28-Jun-2006,232000000,200120000,173965065,374085065,142085065,,,
310,Spectre,2015,,,6.4,6719,06-Nov-2015,,200100000,680600000,880700000,880700000,Sony,en,30.318
311,Spectre,2015,,,6.4,6719,06-Nov-2015,,200100000,680600000,880700000,880700000,Sony,en,30.318
312,Spectre,,,,,,06-Nov-2015,300000000,200074175,679546748,879620923,579620923,,,
313,Gone with the Wind,,,,,,15-Dec-2039,3900000,198680470,191844722,390525192,386625192,,,
314,Pearl Harbor,,,,,,25-May-2001,151500000,198539855,250700000,449239855,297739855,,,
315,Monsters vs. Aliens,,,,,,27-Mar-2009,175000000,198351526,183335854,381687380,206687380,,,
316,Happy Feet,,,,,,17-Nov-2006,85000000,198000317,187000000,385000317,300000317,,,
317,Indiana Jones and the Last Crusade,,,,,,24-May-1989,48000000,197171806,277000000,474171806,426171806,,,
318,Ice Age: Dawn of the Dinosaurs,,,,,,01-Jul-2009,90000000,196573705,663128152,859701857,769701857,,,
319,Ice Age: The Meltdown,,,,,,31-Mar-2006,75000000,195330621,456568661,651899282,576899282,,,
320,Mission: ImpossibleâRogue Nation,,,,,,31-Jul-2015,150000000,195042377,493816615,688858992,538858992,,,
321,Mission: Impossible - Rogue Nation,2015,,,7.1,5242,31-Jul-2015,,195000000,487700000,682700000,682700000,Par.,en,20.177
322,Madagascar,,,,,,27-May-2005,75000000,193595521,362964045,556559566,481559566,,,
323,Twilight,,,,,,21-Nov-2008,37000000,192769854,209510305,402280159,365280159,,,
324,Toy Story,,,,,,22-Nov-1995,30000000,191796233,172749283,364545516,334545516,,,
325,22 Jump Street,,,,,,13-Jun-2014,50000000,191719337,139614539,331333876,281333876,,,
326,22 Jump Street,2014,,,6.9,5167,13-Jun-2014,,191700000,139600000,331300000,331300000,Sony,en,11.176
327,Cars 2,2011,,,5.9,4058,16-Jun-2011,,191500000,370700000,562200000,562200000,BV,en,23.498
328,Cars 2,,,,,,24-Jun-2011,200000000,191450875,368704508,560155383,360155383,,,
329,Teenage Mutant Ninja Turtles,,,,,,08-Aug-2014,125000000,191204754,293800000,485004754,360004754,,,
330,Men in Black 2,,,,,,03-Jul-2002,140000000,190418803,251349000,441767803,301767803,,,
331,Spider-Man: Into The Spider-Verse 3D,,,,,,14-Dec-2018,90000000,190173195,185208573,375381768,285381768,,,
332,Dunkirk,,,,,,21-Jul-2017,150000000,190068280,309769088,499837368,349837368,,,
333,Wreck-It Ralph,,,,,,02-Nov-2012,165000000,189412677,307098844,496511521,331511521,,,
334,Wreck-It Ralph,2012,,,7.3,7780,02-Nov-2012,,189400000,281800000,471200000,471200000,BV,en,22.967
335,A Quiet Place,,,,,,06-Apr-2018,17000000,188024361,146497933,334522294,317522294,,,
336,Interstellar,,,,,,05-Nov-2014,165000000,188017894,478361481,666379375,501379375,,,
337,Interstellar,2014,,,8.2,18597,05-Nov-2014,,188000000,489400000,677400000,677400000,Par.,en,28.44
338,Dunkirk,2017,,,7.4,9156,19-Jul-2017,,188000000,337200000,525200000,525200000,WB,en,24.358
339,A Quiet Place,2018,,,7.3,5848,06-Apr-2018,,188000000,152900000,340900000,340900000,Par.,en,29.154
340,Gladiator,,,,,,05-May-2000,103000000,187683805,270000000,457683805,354683805,,,
341,The Polar Express,,,,,,10-Nov-2004,170000000,187224605,124140582,311365187,141365187,,,
342,The Croods,2013,,,6.8,3873,22-Mar-2013,,187200000,400000000,587200000,587200000,Fox,en,16.29
343,The Croods,,,,,,22-Mar-2013,135000000,187168425,385900000,573068425,438068425,,,
344,Sherlock Holmes: A Game of Shadows,,,,,,16-Dec-2011,125000000,186848418,348815025,535663443,410663443,,,
345,Sherlock Holmes: A Game of Shadows,2011,,,7.1,6380,16-Dec-2011,,186800000,358600000,545400000,545400000,WB,en,18.301
346,The Day After Tomorrow,,,,,,28-May-2004,125000000,186740799,369578651,556319450,431319450,,,
347,Mr. and Mrs. Smith,,,,,,10-Jun-2005,110000000,186336279,299787811,486124090,376124090,,,
348,Snow White and the Seven Dwarfs,,,,,,21-Dec-2037,1488000,184925486,0,184925486,183437486,,,
349,Pitch Perfect 2,2015,,,6.8,3599,15-May-2015,,184300000,103200000,287500000,287500000,Uni.,en,18.469
350,Pitch Perfect 2,,,,,,15-May-2015,29000000,184296230,103329238,287625468,258625468,,,
351,Dances with Wolves,,,,,,09-Nov-1990,19000000,184208842,239991158,424200000,405200000,,,
352,Batman Forever,,,,,,16-Jun-1995,100000000,184031112,152498032,336529144,236529144,,,
353,The Fugitive,,,,,,06-Aug-1993,44000000,183875760,169839557,353715317,309715317,,,
354,The Revenant,,,,,,25-Dec-2015,135000000,183637894,349300408,532938302,397938302,,,
355,The Revenant,2015,,,7.4,11064,25-Dec-2015,,183600000,349300000,532900000,532900000,Fox,en,19.41
356,The Revenant,2015,,,7.4,11064,25-Dec-2015,,183600000,349300000,532900000,532900000,Fox,en,19.41
357,Ocean's Eleven,,,,,,07-Dec-2001,85000000,183417150,267311379,450728529,365728529,,,
358,The Simpsons Movie,,,,,,27-Jul-2007,72500000,183135014,343936008,527071022,454571022,,,
359,What Women Want,,,,,,15-Dec-2000,65000000,182805123,191300000,374105123,309105123,,,
360,The Perfect Storm,,,,,,30-Jun-2000,120000000,182618434,146093000,328711434,208711434,,,
361,Lincoln,,,,,,09-Nov-2012,65000000,182207973,91138308,273346281,208346281,,,
362,Lincoln,2012,,,6.8,2261,16-Nov-2012,,182200000,93100000,275300000,275300000,BV,en,12.693
363,Grease,,,,,,16-Jun-1978,6000000,181813770,205696409,387510179,381510179,,,
364,Liar Liar,,,,,,21-Mar-1997,45000000,181410615,121300000,302710615,257710615,,,
365,Jurassic Park III,,,,,,18-Jul-2001,93000000,181166115,184733885,365900000,272900000,,,
366,Thor,,,,,,06-May-2011,150000000,181030624,268295994,449326618,299326618,,,
367,Thor,2011,,,6.7,12764,06-May-2011,,181000000,268300000,449300000,449300000,Par.,en,38.068
368,Mission: Impossible,,,,,,21-May-1996,80000000,180981886,276716108,457697994,377697994,,,
369,Ant-Man,,,,,,17-Jul-2015,130000000,180202163,338656286,518858449,388858449,,,
370,Ant-Man,2015,,,7.1,11949,17-Jul-2015,,180200000,339100000,519300000,519300000,BV,en,32.715
371,Madagascar: Escape 2 Africa,,,,,,07-Nov-2008,150000000,180174880,419505894,599680774,449680774,,,
372,Planet of the Apes,,,,,,27-Jul-2001,100000000,180011740,182200000,362211740,262211740,,,
373,X-Men Origins: Wolverine,,,,,,01-May-2009,150000000,179883157,194942603,374825760,224825760,,,
374,Indiana Jones and the Temple of Doom,,,,,,23-May-1984,28000000,179880271,153200000,333080271,305080271,,,
375,Top Gun,,,,,,16-May-1986,15000000,179800601,176999033,356799634,341799634,,,
376,Men in Black 3,,,,,,25-May-2012,215000000,179020854,475192631,654213485,439213485,,,
377,Pretty Woman,,,,,,23-Mar-1990,14000000,178406268,254239604,432645872,418645872,,,
378,Hitch,,,,,,11-Feb-2005,55000000,177784257,189000000,366784257,311784257,,,
379,Home,,,,,,27-Mar-2015,130000000,177397510,208600386,385997896,255997896,,,
380,Night at the Museum: Battle of the Smithsonian,,,,,,22-May-2009,150000000,177243721,224987342,402231063,252231063,,,
381,Tootsie,,,,,,17-Dec-1982,15000000,177200000,0,177200000,162200000,,,
382,How to Train Your Dragon 2,,,,,,13-Jun-2014,145000000,177002924,437583346,614586270,469586270,,,
383,How to Train Your Dragon 2,2014,,,7.7,5589,13-Jun-2014,,177000000,444500000,621500000,621500000,Fox,en,27.106
384,Rise of the Planet of the Apes,2011,,,7.2,7259,04-Aug-2011,,176800000,305000000,481800000,481800000,Fox,en,22.995
385,Rise of the Planet of the Apes,,,,,,05-Aug-2011,93000000,176760185,294226015,470986200,377986200,,,
386,Captain America: The First Avenger,2011,,,6.9,12810,22-Jul-2011,,176700000,193900000,370600000,370600000,Par.,en,25.808
387,Captain America: The First Avenger,,,,,,22-Jul-2011,140000000,176654505,193915271,370569776,230569776,,,
388,The Karate Kid,2010,,,6.3,3140,10-Jun-2010,,176600000,182500000,359100000,359100000,Sony,en,12.256
389,The Karate Kid,,,,,,11-Jun-2010,40000000,176591618,175183320,351774938,311774938,,,
390,There's Something About Mary,,,,,,15-Jul-1998,22000000,176484651,193400000,369884651,347884651,,,
391,Ice Age,,,,,,15-Mar-2002,65000000,176387405,209728938,386116343,321116343,,,
392,The Bourne Supremacy,,,,,,23-Jul-2004,85000000,176087450,134913674,311001124,226001124,,,
393,Get Out,,,,,,24-Feb-2017,5000000,176040665,79327286,255367951,250367951,,,
394,Get Out,2017,,,5.5,8,01-Feb-2010,,176000000,79400000,255400000,255400000,Uni.,en,0.834
395,Get Out,2017,,,7.5,8760,24-Feb-2017,,176000000,79400000,255400000,255400000,Uni.,en,24.739
396,The Lego Batman Movie,,,,,,10-Feb-2017,80000000,175750384,134909634,310660018,230660018,,,
397,Us,,,,,,22-Mar-2019,20000000,175006930,79203380,254210310,234210310,,,
398,The Boss Baby,,,,,,31-Mar-2017,125000000,175003033,335875729,510878762,385878762,,,
399,The Boss Baby,2017,,,6.4,4314,31-Mar-2017,,175000000,353000000,528000000,528000000,Fox,en,7.445
400,Crocodile Dundee,,,,,,26-Sep-1986,8800000,174803506,153400000,328203506,319403506,,,
401,Crazy Rich Asians,,,,,,15-Aug-2018,30000000,174532921,63566790,238099711,208099711,,,
402,Crazy Rich Asians,2018,,,7.1,1496,15-Aug-2018,,174500000,64000000,238500000,238500000,WB,en,17.969
403,The Greatest Showman,,,,,,20-Dec-2017,84000000,174340174,212325376,386665550,302665550,,,
404,The Greatest Showman,2017,,,8,5197,20-Dec-2017,,174300000,260700000,435000000,435000000,Fox,en,22.009
405,The Greatest Showman,2017,,,8,5197,20-Dec-2017,,174300000,260700000,435000000,435000000,Fox,en,22.009
406,Elf,,,,,,07-Nov-2003,32000000,173840591,46837892,220678483,188678483,,,
407,Apollo 13,,,,,,30-Jun-1995,65000000,173772767,162029504,335802271,270802271,,,
408,Home Alone 2: Lost in New York,,,,,,20-Nov-1992,20000000,173585516,185409334,358994850,338994850,,,
409,National Treasure,,,,,,19-Nov-2004,100000000,173005002,158318408,331323410,231323410,,,
410,Air Force One,,,,,,25-Jul-1997,85000000,172956409,142311944,315268353,230268353,,,
411,Rain Man,,,,,,16-Dec-1988,25000000,172825435,239974565,412800000,387800000,,,
412,Pirates of the Caribbean: Dead Men Tell No Tales,2017,,,6.6,6931,26-May-2017,,172600000,622300000,794900000,794900000,BV,en,28.101
413,Pirates of the Caribbean: Dead Men Tell No Tales,,,,,,26-May-2017,230000000,172558876,615682261,788241137,558241137,,,
414,Tron: Legacy,,,,,,17-Dec-2010,200000000,172062763,228000000,400062763,200062763,,,
415,Mary Poppins Returns,2018,,,6.6,1457,19-Dec-2018,,172000000,177600000,349600000,349600000,BV,en,30.419
416,Mary Poppins Returns,,,,,,19-Dec-2018,130000000,171958438,169570080,341528518,211528518,,,
417,The Matrix,,,,,,31-Mar-1999,65000000,171479930,292037453,463517383,398517383,,,
418,True Grit,,,,,,22-Dec-2010,35000000,171243005,81033923,252276928,217276928,,,
419,True Grit,2010,,,7.2,2816,22-Dec-2010,,171200000,81000000,252200000,252200000,Par.,en,13.118
420,Tarzan,,,,,,16-Jun-1999,145000000,171091819,277100000,448191819,303191819,,,
421,A Beautiful Mind,,,,,,21-Dec-2001,78000000,170708996,146959062,317668058,239668058,,,
422,Chicago,,,,,,27-Dec-2002,30000000,170687518,136083027,306770545,276770545,,,
423,The Help,,,,,,10-Aug-2011,25000000,169705587,43414417,213120004,188120004,,,
424,Hotel Transylvania 2,,,,,,25-Sep-2015,80000000,169700110,299800188,469500298,389500298,,,
425,Hotel Transylvania 2,2015,,,6.7,3184,25-Sep-2015,,169700000,305100000,474800000,474800000,Sony,en,16.553
426,The Help,2011,,,8.1,3944,10-Aug-2011,,169700000,46900000,216600000,216600000,BV,en,12.598
427,Hidden Figures,,,,,,25-Dec-2016,25000000,169607287,62164429,231771716,206771716,,,
428,Hidden Figures,2016,,,8,4710,10-Dec-2016,,169600000,66300000,235900000,235900000,Fox,en,14.751
429,Hidden Figures,2016,,,8,4710,10-Dec-2016,,169600000,66300000,235900000,235900000,Fox,en,14.751
430,Quantum of Solace,,,,,,14-Nov-2008,230000000,169368427,422323651,591692078,361692078,,,
431,Bridesmaids,,,,,,13-May-2011,32500000,169211718,120420305,289632023,257132023,,,
432,Close Encounters of the Third Kind,,,,,,16-Nov-1977,20000000,169100479,171700000,340800479,320800479,,,
433,Bridesmaids,2011,,,6.5,2783,13-May-2011,,169100000,119300000,288400000,288400000,Uni.,en,9.805
434,Wild Hogs,,,,,,02-Mar-2007,60000000,168213584,85341799,253555383,193555383,,,
435,Kong: Skull Island,2017,,,6.3,6054,10-Mar-2017,,168100000,398600000,566700000,566700000,WB,en,29.388
436,Kong: Skull Island,,,,,,10-Mar-2017,185000000,168052812,393019247,561072059,376072059,,,
437,Gone Girl,2014,,,7.9,10459,03-Oct-2014,,167800000,201600000,369400000,369400000,Fox,en,31.215
438,3 Men and a Baby,,,,,,25-Nov-1987,15000000,167780960,0,167780960,152780960,,,
439,Gone Girl,,,,,,03-Oct-2014,61000000,167767189,200800000,368567189,307567189,,,
440,Hotel Transylvania 3: Summer Vacation,,,,,,13-Jul-2018,65000000,167500092,359579870,527079962,462079962,,,
441,Hotel Transylvania 3: Summer Vacation,2018,,,6.8,1673,30-Jun-2018,,167500000,361100000,528600000,528600000,Sony,en,26.815
442,Casino Royale,,,,,,17-Nov-2006,102000000,167365000,427055283,594420283,492420283,,,
443,Meet the Parents,,,,,,06-Oct-2000,55000000,166225040,164200000,330425040,275425040,,,
444,Fifty Shades of Grey,2015,,,5.4,6451,13-Feb-2015,,166200000,404800000,571000000,571000000,Uni.,en,21.229
445,Fifty Shades of Grey,,,,,,13-Feb-2015,40000000,166167230,404830871,570998101,530998101,,,
446,2012,,,,,,13-Nov-2009,200000000,166112167,591565581,757677748,557677748,,,
447,Robin Hood: Prince of Thieves,,,,,,14-Jun-1991,50000000,165493908,225006092,390500000,340500000,,,
448,Kung Fu Panda 2,,,,,,26-May-2011,150000000,165249063,499588484,664837547,514837547,,,
449,Kung Fu Panda 2,2011,,,6.7,3628,25-May-2011,,165200000,500400000,665600000,665600000,P/DW,en,17.363
450,Hannibal,,,,,,09-Feb-2001,87000000,165092266,185008014,350100280,263100280,,,
451,Catch Me if You Can,,,,,,25-Dec-2002,52000000,164606800,191005491,355612291,303612291,,,
452,The Proposal,,,,,,19-Jun-2009,40000000,163958031,150751686,314709717,274709717,,,
453,Big Daddy,,,,,,25-Jun-1999,30000000,163479795,65161488,228641283,198641283,,,
454,Clash of the Titans,,,,,,01-Apr-2010,125000000,163214888,330000000,493214888,368214888,,,
455,The Sound of Music,,,,,,02-Mar-2065,8200000,163214286,123000000,286214286,278014286,,,
456,The SpongeBob Movie: Sponge Out of Water,2015,,,5.7,1165,06-Feb-2015,,163000000,162200000,325200000,325200000,Par.,en,13.815
457,The SpongeBob Movie: Sponge Out of Water,,,,,,06-Feb-2015,74000000,162994032,148019149,311013181,237013181,,,
